,year,region,driving_licenses,x,y,accidents,dead,injured
0,2017,Hail,22035,27.400845724,41.4406960508,9379,265,773
1,2017,Northern Border,5280,30.197074783,41.8171186952,11540,112,374
2,2016,Al-Baha,4614,20.1484058503,41.4665484892,3618,185,1227
3,2017,Qassim,6318,26.1967063704,43.3429998455,22405,319,1446
4,2017,Eastern,126816,23.2883307307,50.1478302439,81433,963,4073
5,2017,Tabouk,10232,27.90165499,37.2598581394,11713,348,1243
6,2016,Northern Border,4958,30.197074783,41.8171186952,13196,193,631
7,2016,Najran,2153,18.4511003068,46.868849572600006,3235,173,706
8,2017,Makkah,142487,21.628962766,41.2636898334,145541,1641,10623
9,2016,Makkah,136055,21.628962766,41.2636898334,134838,2243,12383
10,2016,Madinah,24540,24.927534539,39.4918237173,14475,822,4184
11,2016,Qassim,9180,26.1967063704,43.3429998455,25664,397,1513
12,2016,Hail,54507,27.400845724,41.4406960508,10199,299,932
13,2017,Najran,13825,18.4511003068,46.868849572600006,3193,194,766
14,2017,Al-Jouf,8091,29.967744576199998,39.5570371172,10469,240,862
15,2017,Madinah,36165,24.927534539,39.4918237173,16070,580,2917
16,2016,Eastern,142307,23.2883307307,50.1478302439,101619,1113,4893
17,2017,Asir,39133,19.1387847401,42.941470036,25245,828,2368
18,2016,Asir,41367,19.1387847401,42.941470036,32684,983,2541
19,2017,Jazan,18345,17.207231396199997,42.6525807422,22161,466,2207
20,2016,Jazan,11504,17.207231396199997,42.6525807422,25873,514,2259
21,2017,Riyadh,495307,23.0814341634,45.5857512766,99925,1399,4540
22,2016,Riyadh,242851,23.0814341634,45.5857512766,141736,1430,4207
23,2017,Al-Baha,4131,20.1484058503,41.4665484892,1414,134,1007
24,2016,Al-Jouf,9371,29.967744576199998,39.5570371172,10212,245,920
25,2016,Tabouk,13610,27.90165499,37.2598581394,16031,434,1724
